,wm_prod_code,prod_detail_type_code,prod_ccy,prod_risk_code,can_rcmd_ind,prod_name
1830,KK06,FNDF,EUR,RR3,1,富蘭克林坦伯頓全球投資全球氣候變遷基金（ＹＤＩＳ）歐元
1832,KK67,FNDF,AUD,RR2,1,富蘭克林坦伯頓全球投資全球債券澳幣避險Ｈ１月配
1834,NN27,FNDF,EUR,RR3,1,聯博美國收益基金ＡＴ股歐元
1835,PP51,FNDF,USD,RR5,1,施羅德環球新興市場股債優勢（美元）Ａ１－累積基金
1836,PP65,FNDF,AUD,RR2,1,施羅德環球環球企業債券（澳幣避險）Ａ１－月配浮動（Ｃ）基金
1840,2313,FNDD,TWD,RR4,1,柏瑞新興市場高收益債券基金Ａ類型
1841,2619,FNDD,TWD,RR5,1,元大巴西指數基金
1843,4834,FNDD,USD,RR3,1,富蘭克林華美特別股收益基金美元分配型
1845,5002,FNDD,TWD,RR4,1,貝萊德寶利基金
1847,AT03,FNDF,EUR,RR4,1,百達智慧城市Ｒ歐元
1852,6307,FNDD,TWD,RR3,1,瑞銀全方位高收益債券基金臺幣Ｂ類型（月配息）
1856,AA61,FNDF,EUR,RR3,1,富達全球電訊基金
1857,AA75,FNDF,USD,RR3,1,富達美元高收益基金月配Ａ
1859,AP33,FNDF,AUD,RR3,1,ＮＮ（Ｌ）環球高股息基金Ｘ股對沖級別澳幣（月配息）
1861,BB51,FNDF,ZAR,RR3,1,安聯收益成長基金－ＡＭ穩定月收類股（南非幣避險）
1864,CC03,FNDF,USD,RR5,1,摩根東協基金（美元）（累計）
1865,CC79,FNDF,USD,RR5,1,摩根－ＪＰＭ中國美元（Ａ股分派）基金
1866,KK54,FNDF,USD,RR5,1,富蘭克林坦伯頓全球投資新興國家小型企業基金美元
1867,NNC9,FNDF,USD,RR3,1,聯博優化波動股票基金ＡＤ月配級別美元
1868,NNB5,FNDF,EUR,RR4,1,聯博歐洲股票基金Ａ級別歐元
1870,QQ20,FNDF,EUR,RR3,1,瑞銀（盧森堡）歐元高收益債券基金（歐元）
1872,QQ34,FNDF,USD,RR4,1,瑞銀（盧森堡）美國總收益股票基金月配息
1876,2128,FNDD,TWD,RR5,1,野村中國機會基金
1877,2134,FNDD,TWD,RR3,1,野村新興高收益債組合基金累積類型
